2025-03-10 16:18:27,862 - AVC - Arming Drone
2025-03-10 16:18:31,957 - AVC - UAV START: TAKING OFF
2025-03-10 16:21:31,353 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:31,353 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:32,355 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:32,356 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:33,358 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:33,361 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:34,363 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:34,363 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:35,366 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:35,366 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:36,368 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:36,368 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:37,371 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:37,371 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:38,373 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:38,374 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
